School ID,Name,SEMIS,GPS,Tehsil,UnionCouncil
603,GBELS : SACHAL NOHRIO,401010813,"24.5740263082006, 68.9349791432148",Badin,Muhammad Khan Bhurgari
604,GBELS : GHULAM RASOOL JAMALI,401010816,"24.573609746565, 68.9633602634263",Badin,Abdullah Shah
626,GGPS : NINDO SHAHER,401010126,"24.6378358975437, 69.0387886762619",Badin,Nindo-Tc
647,GBPS : HAJI UMAR SOOMRO,401010495,"24.6724552325895, 68.9767491583108",Badin,Nindo Shaher
945,GBPS : KHAMISO NOHERIO,401010007,"24.5717248332711, 68.9330452415705",Badin,Luari Sharif
1088,GBPS : NINDO SHAHAR,401010006,"24.6406834984613, 69.0385928750038",Badin,Nindo-Tc
1089,GBPS : ALLAH JURIO CHANDIO,401010009,"24.6460420289081, 69.0244603160023",Badin,Nindo-Tc
1090,GBPS : RAMZAN JUNEJO,401010038,"24.6128777884957, 68.9728049960227",Badin,Nindo Shaher
1091,GBPS : BUDHAL PANHWAR,401010102,"24.6433725614878, 68.9799302795537",Badin,Nindo Shaher
1093,GBPS : NOOR MUHAMMAD BAJEER,401010124,"24.5876292568378, 69.0547102685771",Badin,Nindo Shaher
1094,GGPS : HUSSAIN BAJEER,401010140,"24.5756556804884, 69.048101305912",Badin,Nindo Shaher
1095,GGPS : GHULAM MUHAMMED FAROOQUI,401010160,"24.6602587835575, 68.9826500419775",Badin,Nindo Shaher
1096,GGPS : BUDHAL PANHWER,401010197,"24.6436014804655, 68.9802145814943",Badin,Nindo Shaher
1097,GGPS : JAVED ALI KHASKHELI,401010198,"24.6582843779716, 69.0288671854137",Badin,Nindo Shaher
1098,GBPS : UMED ALI JAMALI,401010209,"24.6641126382781, 68.9622277004526",Badin,Nindo Shaher
1099,GBPS : MEHRAB MURADANI,401010212,"24.6573360219666, 68.9570134836449",Badin,Nindo Shaher
1100,GBPS : GHULAM MUHAMMAD FOROOQI,401010223,"24.6596906635359, 68.9816388417307",Badin,Nindo Shaher
1102,GBPS : HAYAT MACHHI,401010225,"24.6341885908634, 68.9973431825638",Badin,Nindo Shaher
